"orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","difference","accepted_no","accepted_rank","accepted_name","parent_no","reference_no","is_extant","n_occs"
"99470","99470","txn","F","","Phaceloolithus","","99470","genus","Phaceloolithus","99469","24215","extinct","1"
"67270","67270","txn","F","","Dendroolithus","","67270","genus","Dendroolithus","99469","7720","extinct","23"
"156000","156000","txn","IF","","Xiphopeza","","156000","genus","Xiphopeza","52775","30909","extinct","3"
"67238","67238","txn","IF","","Sinoichnites","nomen dubium","52775","unranked clade","Dinosauria","52775","62983","extinct","1"
"435402","435402","txn","F","","Fusioolithus","","435402","genus","Fusioolithus","435403","76263","extinct","60"
"435394","435394","txn","F","","Patagoolithus","subjective synonym of","435402","genus","Fusioolithus","435403","76257","extinct","60"
"155998","155998","txn","IF","","Lagunculapes","","155998","genus","Lagunculapes","52775","29531","extinct","1"
"142687","142687","txn","F","","Dongyangoolithus","","142687","genus","Dongyangoolithus","437789","29323","extinct","0"
"437790","437790","txn","F","","Multifissoolithus","","437790","genus","Multifissoolithus","437789","76924","extinct","3"
"192890","192890","txn","IF","","Neosauropus","nomen dubium","52775","unranked clade","Dinosauria","52775","65423","extinct","1"
"153274","153274","txn","","","Nyasasaurus","","153274","genus","Nyasasaurus","52775","77959","extinct","2"
"348404","348404","txn","IF","","Huanglongpus","nomen dubium","52775","unranked clade","Dinosauria","52775","61248","extinct","1"
"395887","395887","txn","F","","Mosaicoolithus","","395887","genus","Mosaicoolithus","52775","70255","extinct","3"
"38832","38832","txn","","","Amtosaurus","nomen dubium","38712","unranked clade","Ornithischia","38712","13890","extinct","1"
"66638","66638","txn","","","Sangonghesaurus","","66638","genus","Sangonghesaurus","66637","13898","extinct","0"
"65562","65562","txn","F","","Prismatoolithus","","65562","genus","Prismatoolithus","65561","14296","extinct","58"
"459402","459402","txn","F","","Prismatoolithus","","65562","genus","Prismatoolithus","65561","44320","extinct","58"
"255541","255541","txn","F","","Preprismatoolithus","","255541","genus","Preprismatoolithus","65561","44319","extinct","7"
"458410","458410","txn","F","","Prismatoolithus","replaced by","255541","genus","Preprismatoolithus","65561","14216","extinct","7"
"437787","437787","txn","F","","Laiyangoolithus","","437787","genus","Laiyangoolithus","65561","76923","extinct","1"
"65564","65564","txn","F","","Spheruprismatoolithus","","65564","genus","Spheruprismatoolithus","65561","13291","extinct","3"
"399333","399333","txn","F","","Trigonoolithus","","399333","genus","Trigonoolithus","65561","70942","extinct","1"
"255760","255760","txn","F","","Sankofa","","255760","genus","Sankofa","65561","44376","extinct","2"
"84312","84312","txn","F","","Protoceratopsidovum","","84312","genus","Protoceratopsidovum","65561","44374","extinct","16"
"141034","141034","txn","IF","","Delatorrichnus","","141034","genus","Delatorrichnus","475302","33371","extinct","4"
"475303","475303","txn","IF","","Afrodelatorrichnus","","475303","genus","Afrodelatorrichnus","475302","85465","extinct","2"
"94345","94345","txn","I","","Gregaripus","","94345","genus","Gregaripus","38712","19884","extinct","2"
"105061","105061","txn","","","Krzyzanowskisaurus","","105061","genus","Krzyzanowskisaurus","38712","24943","extinct","4"
"263305","263305","txn","IF","","Komlosaurus","","263305","genus","Komlosaurus","38712","45818","extinct","3"
"165602","165602","txn","IF","","Ligabueichnium","","165602","genus","Ligabueichnium","38712","62874","extinct","1"
"38716","38716","txn","","","Trimucrodon","nomen dubium","38712","unranked clade","Ornithischia","38712","23379","extinct","1"
"503585","503585","txn","","","Archaeocursor","","503585","genus","Archaeocursor","38712","90958","extinct","1"
"119884","119884","txn","","","Sacisaurus","","119884","genus","Sacisaurus","398795","26809","extinct","1"
"38721","38721","txn","","","Technosaurus","","38721","genus","Technosaurus","398795","29594","extinct","1"
"68125","68125","txn","","","Eucoelophysis","","68125","genus","Eucoelophysis","398795","14776","extinct","2"
"280555","280555","txn","","","Lutungutali","","280555","genus","Lutungutali","398795","48534","extinct","1"
"398796","398796","txn","","","Kwanasaurus","","398796","genus","Kwanasaurus","398795","70805","extinct","6"
"202339","202339","txn","","","Diodorus","","202339","genus","Diodorus","398795","37952","extinct","1"
"81775","81775","txn","","","Silesaurus","","81775","genus","Silesaurus","398795","17738","extinct","3"
"470681","470681","txn","","","Amanasaurus","","470681","genus","Amanasaurus","163003","84473","extinct","1"
"466003","466003","txn","","","Gamatavus","","466003","genus","Gamatavus","163003","83435","extinct","1"
"38288","38288","txn","","","Lewisuchus","","38288","genus","Lewisuchus","163003","4399","extinct","4"
"65485","65485","txn","","","Pseudolagosuchus","subjective synonym of","38288","genus","Lewisuchus","163003","13244","extinct","4"
"164324","164324","txn","","","Asilisaurus","","164324","genus","Asilisaurus","163003","32231","extinct","4"
"378441","378441","txn","","","Soumyasaurus","","378441","genus","Soumyasaurus","163003","67237","extinct","1"
"38729","38729","txn","","","Pisanosaurus","","38729","genus","Pisanosaurus","519894","7278","extinct","1"
"104623","104623","txn","","","Eocursor","","104623","genus","Eocursor","519895","24820","extinct","1"
"143495","143495","txn","","","Tianyulong","","143495","genus","Tianyulong","38722","29485","extinct","1"
"38725","38725","txn","","","Heterodontosaurus","","38725","genus","Heterodontosaurus","248277","16997","extinct","7"
"38723","38723","txn","","","Abrictosaurus","","38723","genus","Abrictosaurus","248277","13214","extinct","1"
"38727","38727","txn","","","Lycorhinus","","38727","genus","Lycorhinus","248277","9818","extinct","5"
"38726","38726","txn","","","Lanasaurus","subjective synonym of","38727","genus","Lycorhinus","248277","13011","extinct","5"
"185174","185174","txn","","","Manidens","","185174","genus","Manidens","248277","36107","extinct","2"
"248276","248276","txn","","","Pegomastax","","248276","genus","Pegomastax","248277","43191","extinct","1"
"38717","38717","txn","","","Echinodon","","38717","genus","Echinodon","38722","14066","extinct","6"
